"Code","Title","Definition","Parent Codes","Ecf Case Types","Taxonomies"
"WO-08-07-00-00","Religious discrimination at work","This category covers options and rights for a person who may be facing inappropriate treatment at work (or potential work) based on their religion. This includes around their hiring, firing, pay, job assignments, promotions, or comments and insults. The category covers what the standards for discrimination are, and what a person can do to protect themselves.","WO-08-00-00-00, RI-17-00-00-00",,"NSMI v1 Taxonomy [1210504]"
"WO-08-08-00-00","Sexual orientation or Gender Identity discrimination at work","This category covers options and rights for a person who may be facing inappropriate treatment at work (or potential work) based on their sexual orientation (real or perceived) or their gender identity. This includes around their hiring, firing, pay, job assignments, promotions, or comments and insults. The category covers what the standards for discrimination are, and what a person can do to protect themselves.","RI-06-00-00-00, WO-08-00-00-00",,"NSMI v1 Taxonomy [1210506]"
"WO-08-09-00-00","Martial or Parental Status discrimination at work","This category covers options and rights for a person who may be facing inappropriate treatment at work (or potential work) based on their family status -- like around having children, being married, single, divorced, widowed, or head of household. This includes around their hiring, firing, pay, job assignments, promotions, or comments and insults. The category covers what the standards for discrimination are, and what a person can do to protect themselves.","WO-08-00-00-00, RI-11-00-00-00",,"NSMI v1 Taxonomy [1210507]"
"WO-08-10-00-00","Proving discrimination at work","This category covers the legal standards and types of behavior that apply when a worker is bringing a complaint of discrimination against an employer.","WO-08-00-00-00",,
"WO-08-10-01-00","Discrimination based on a 'bona fide occupational qualification'","This category covers when an employer might have a legitimate reason to discriminate against workers or applicants, based on a 'bona fide occupational qualification' that is related to the work. (This does not usually allow them to discriminate based on race). Often employers use this standard to defend themselves, to say that they had to discriminate based on safety or other important concerns.","WO-08-10-00-00",,"NSMI v1 Taxonomy [1210521]"
"WO-08-10-02-00","Neutral work policies that lead to discrimination (disparate impact)","This category covers situations when an employer has a policy that seems neutral on its face (like a certain test, requirement, or procedure) that leads to discrimination against workers of a certain race, gender, age, religion, or another protected demographic group. This category covers what someone needs to show to prove 'disparate impact' discrimination, and how employers can defend themselves.","WO-08-10-00-00",,"NSMI v1 Taxonomy [1210520]"
"RI-08-01-00-00","Agricultural workers' protections","This category covers what rights and special protections agricultural (farm) workers have -- especially under the special federal laws like the Migrant and Seasonal Agricultural Worker Protection Act (MSPA). These include obligations that employers have around labor standards and communication, as well as what workers and contractors must do in terms of registering with the US Department of Labor.","IM-13-00-00-00, RI-08-00-00-00",,"NSMI v1 Taxonomy [1260100], Legal Services Corporation Taxonomy [26]"
"MO-02-01-01-00","Health care coverage through employer","This category covers workers' rights and protections to get health care coverage through their employer -- like whether employers must provide health insurance, whether dependents would be covered, how COBRA works, and what happens when one is terminated or leaves their job.","MO-02-01-00-00, WO-02-00-00-00",,
"MO-02-01-01-01","COBRA health insurance post-employement","This category covers issues a person might have with employment-based health care coverage after they have left a job or has been terminated -- or when they (or their family members) would otherwise have their health coverage end. This includes who is eligible to receive COBRA insurance coverage, how long it lasts, and what it covers. It also includes how to raise complaints if the employer doesn't offer COBRA coverage.","MO-02-01-01-00, WO-03-00-00-00",,"NSMI v1 Taxonomy [1591400]"
"WO-02-04-07-00","Making a complaint under the Fair Labor Standards Act","This category covers employees' possible options to raise a complaint against their employer for a violation of how much they are paid, whether they are getting overtime, or other possible violation of the Fair Labor Standards Act. This includes what kind of employee is eligible for protections under this Act, which employers must abide by its rules, and how to raise a claim about a violation.","WO-02-04-00-00",,"NSMI v1 Taxonomy [1220110]"
"WO-03-04-00-00","Employment records from former job","This category covers how a person might request their personnel file from a former employer, how other possible employers might request your past employment records, and deal with other issues about what a previous employer says or releases about your work history.","WO-03-00-00-00",,"NSMI v1 Taxonomy [ 1291000]"
"WO-02-08-00-00","Being a subcontractor","This category covers the rights, obligations, and duties of subcontractor workers, who work for 'general contractors' at a job. This includes what obligations the employer and the general contractor have toward them, what tax and contract obligations subcontractors have, and what protections they have regarding wages, breaks, working conditions, termination, and other situations.","WO-02-00-00-00",,"NSMI v1 Taxonomy [1290600]"
"WO-02-14-01-00","Taking leave for family and medical reasons","This category covers employees' options for taking family and medical Leave (especially under the Family and Medical Leave Act), including for giving birth, caring for a child, caring for another family member, dealing with an illness or other issues. This category covers questions about which employees are eligible for taking leave, if they will be paid, if they can be fired, how to get approved for leave, and what happens if you think your employer has violated their obligations.","WO-02-14-00-00, FA-16-00-00-00",,"NSMI v1 Taxonomy [1250100]"
